La orden del cliente: C138 - Con descripcion Food{description='Hamburguesa', serviceTime=138} ingreso en el tiempo: 138
La orden del cliente: C140 - Con descripcion Food{description='Asado', serviceTime=140} ingreso en el tiempo: 140
La orden del cliente: C142 - Con descripcion Food{description='Asado', serviceTime=142} ingreso en el tiempo: 142
La orden del cliente: C141 - Con descripcion Food{description='Hamburguesa', serviceTime=141} ingreso en el tiempo: 141
La orden del cliente: C143 - Con descripcion Food{description='Asado', serviceTime=143} ingreso en el tiempo: 143
La orden del cliente: C144 - Con descripcion Food{description='Asado', serviceTime=144} ingreso en el tiempo: 144
La orden del cliente: C145 - Con descripcion Food{description='Pizza', serviceTime=145} ingreso en el tiempo: 145
La orden del cliente: C146 - Con descripcion Food{description='Empanadas', serviceTime=146} ingreso en el tiempo: 146
La orden del cliente: C147 - Con descripcion Food{description='Asado', serviceTime=147} ingreso en el tiempo: 147
La orden del cliente: C148 - Con descripcion Food{description='Pizza', serviceTime=148} ingreso en el tiempo: 148
La orden del cliente: C149 - Con descripcion Food{description='Empanadas', serviceTime=149} ingreso en el tiempo: 149
La orden del cliente: C150 - Con descripcion Food{description='Hamburguesa', serviceTime=150} ingreso en el tiempo: 150
La orden del cliente: C151 - Con descripcion Food{description='Asado', serviceTime=151} ingreso en el tiempo: 151
La orden del cliente: C152 - Con descripcion Food{description='Pizza', serviceTime=152} ingreso en el tiempo: 152
La orden del cliente: C153 - Con descripcion Food{description='Pizza', serviceTime=153} ingreso en el tiempo: 153
La orden del cliente: C154 - Con descripcion Food{description='Pizza', serviceTime=154} ingreso en el tiempo: 154
La orden del cliente: C155 - Con descripcion Food{description='Pizza', serviceTime=155} ingreso en el tiempo: 155
La orden del cliente: C156 - Con descripcion Food{description='Asado', serviceTime=156} ingreso en el tiempo: 156
La orden del cliente: C157 - Con descripcion Food{description='Empanadas', serviceTime=157} ingreso en el tiempo: 157
La orden del cliente: C158 - Con descripcion Food{description='Pizza', serviceTime=158} ingreso en el tiempo: 158
La orden del cliente: C159 - Con descripcion Food{description='Asado', serviceTime=159} ingreso en el tiempo: 159
La orden del cliente: C160 - Con descripcion Food{description='Asado', serviceTime=160} ingreso en el tiempo: 160
La orden del cliente: C161 - Con descripcion Food{description='Pizza', serviceTime=161} ingreso en el tiempo: 161
La orden del cliente: C163 - Con descripcion Food{description='Hamburguesa', serviceTime=163} ingreso en el tiempo: 163
La orden del cliente: C167 - Con descripcion Food{description='Hamburguesa', serviceTime=167} ingreso en el tiempo: 167
La orden del cliente: C168 - Con descripcion Food{description='Asado', serviceTime=168} ingreso en el tiempo: 168
La orden del cliente: C162 - Con descripcion Food{description='Asado', serviceTime=162} ingreso en el tiempo: 162
La orden del cliente: C171 - Con descripcion Food{description='Asado', serviceTime=171} ingreso en el tiempo: 171
La orden del cliente: C164 - Con descripcion Food{description='Empanadas', serviceTime=164} ingreso en el tiempo: 164
La orden del cliente: C173 - Con descripcion Food{description='Hamburguesa', serviceTime=173} ingreso en el tiempo: 173
La orden del cliente: C165 - Con descripcion Food{description='Asado', serviceTime=165} ingreso en el tiempo: 165
La orden del cliente: C174 - Con descripcion Food{description='Hamburguesa', serviceTime=174} ingreso en el tiempo: 174
La orden del cliente: C166 - Con descripcion Food{description='Hamburguesa', serviceTime=166} ingreso en el tiempo: 166
La orden del cliente: C175 - Con descripcion Food{description='Asado', serviceTime=175} ingreso en el tiempo: 175
La orden del cliente: C169 - Con descripcion Food{description='Empanadas', serviceTime=169} ingreso en el tiempo: 169
